CPB;TITULO_ORIGINAL;DIRETOR;PAIS_DIRETOR
B0300026000000;VIVA SAPATO!;LUIZ CARLOS LACERDA;BRASIL
B0300026700000;PAI FRANCISCO ENTROU NA RODA;MARCOS MAGALHÃES;Não Informado
B0300026800000;INVENÇÃO DA INFÃNCIA, A;LILIANA SULZBACH;BRASIL
B0300026900000;ACHADOS E PERDIDOS;EDUARDO LEONEL ALBERGARIA;Não Informado
B0300027000000;ATROCIDADES MARAVILHOSAS;LUIZ GANDELMAN CARVALHO;BRASIL
B0300027000000;ATROCIDADES MARAVILHOSAS;PEDRO ENGELLAUM PEREGRINO;BRASIL
B0300027000000;ATROCIDADES MARAVILHOSAS;RENATO CALDAS COELHO MARTINS;BRASIL
B0300027200000;ROSINHA MINHA SEREIA;BERENICE ISABEL MENDES BEZERRA;BRASIL
B0300027300000;DAMA DO CINE SHANGHAI, A;GUILHERME DE ALMEIDA PRADO;BRASIL
B0300027400000;GUERRA DE CANUDOS;SERGIO PEREZ DE REZENDE;BRASIL
B0300027500000;HOMEM DA CAPA PRETA, O;SERGIO REZENDE DANIELOWSKI;BRASIL
B0300027600000;LAMARCA;SERGIO REZENDE DANIELOWSKI;BRASIL
B0300027800000;SONHO NÃO ACABOU, O;SERGIO REZENDE DANIELOWSKI;BRASIL
B0300028000000;CÃO GUIA;GUSTAVO CORGA ACIOLI LOPES;Não Informado
B0300028300000;ELA OLHOU PRA MIM;LUISA LIMA;Não Informado
B0300028400000;ALBA;MAURO HEITOR;Não Informado
B0300028500000;AMOR DE VERDADE;JOSE ANTÔNIO SÉ;Não Informado
B0300028600000;DESAMOR;TONY QUEIROGA;Não Informado
B0300028700000;A BAILARINA;MARCO ABUJAMRA;Não Informado
B0300028800000;EU ODEIO A ORGANIZAÇÃO;RODRIGO ABUJAMRA;Não Informado
B0300028900000;FILME DIFAMATÓRIO;SAMIR ABUJAMRA;Não Informado
B0300029000000;HERANÇAS DA GRÉCIA ANTIGA;RACHEL BALASSIANO;Não Informado
